Municipio,Desaparecidos,Habitantes,Desaparecidos_1000,Mun_Caguan
TURBANÁ,15,17857,"0,8400067201",No
DONMATÍAS,17,20328,"0,8362849272",No
MAICAO,160,192085,"0,832964573",No
SAN BERNARDO,8,9635,"0,8303061754",No
SALENTO,8,9772,"0,8186655751",No
QUIMBAYA,26,31931,"0,8142557389",No
GUAPOTÁ,2,2458,"0,8136696501",No
PITALITO,106,130742,"0,8107570635",No
EL PIÑÓN,20,24699,"0,8097493826",No
CARTAGO,112,139026,"0,805604707",No
SAN JOSÉ,4,5002,"0,7996801279",No
PASTO,313,393009,"0,7964194204",No
GIGANTE,20,25127,"0,7959565408",No
CASABIANCA,5,6329,"0,7900142203",No
PINILLOS,20,25333,"0,7894840722",No
MARINILLA,55,70024,"0,7854449903",No
SAN JOSÉ DE URÉ,11,14023,"0,7844255865",No
GUTIÉRREZ,3,3825,"0,7843137255",No
EL COLEGIO,22,28072,"0,7836990596",No
NUEVA GRANADA,17,21707,"0,7831575068",No
VERGARA,6,7686,"0,7806401249",No
OROCUÉ,10,12851,"0,7781495603",No
FILADELFIA,9,11600,"0,775862069",No
SABANAGRANDE,28,36144,"0,7746790615",No
VALLE DE SAN JOSÉ,5,6455,"0,7745933385",No
SUAN,10,12949,"0,7722604062",No
GIRARDOTA,43,56148,"0,7658331552",No
SAN PEDRO,15,19675,"0,7623888183",No
CÚCUTA,602,791986,"0,7601144465",No
TIMBÍO,28,36875,"0,7593220339",No
TIMANÁ,17,22428,"0,7579810951",No
PALMAS DEL SOCORRO,2,2675,"0,7476635514",No
BOLÍVAR,28,37586,"0,7449582291",No
CALDAS,64,86042,"0,7438227842",No
NIMAIMA,3,4036,"0,7433102081",No
ANDALUCÍA,17,22878,"0,7430719468",No
VALLE DE SAN JUAN,4,5387,"0,7425283089",No
VILLA CARO,4,5403,"0,7403294466",No
ÍQUIRA,7,9497,"0,7370748657",No
ZAPAYÁN,8,10884,"0,7350238883",No
SAN PABLO DE BORBUR,5,6806,"0,7346459007",No
SAN ANTONIO DEL TEQUENDAMA,10,13758,"0,7268498328",No
PURIFICACIÓN,17,23657,"0,7186033732",No
BOLÍVAR,27,37586,"0,7183525781",No
CONDOTO,9,12565,"0,7162753681",No
FRANCISCO PIZARRO,10,14170,"0,705716302",No
MARSELLA,12,17005,"0,7056748015",No
FUNES,5,7141,"0,7001820473",No
BAGADÓ,8,11444,"0,699056274",No
IPIALES,81,115936,"0,6986613304",No
LINARES,7,10021,"0,6985330805",No
PALMAR,1,1433,"0,6978367062",No
LOS PALMITOS,17,24462,"0,6949554411",No
CUCUTILLA,6,8636,"0,6947660954",No
MARIPÍ,4,5759,"0,6945650287",No
CERRO DE SAN ANTONIO,7,10193,"0,6867458059",No
SOCOTÁ,5,7308,"0,6841817187",No
NARIÑO,7,10257,"0,6824607585",No
ROSAS,8,11724,"0,682360969",No
CHARTA,2,2942,"0,6798096533",No
CANDELARIA,12,17714,"0,6774302811",No
PUEBLO NUEVO,25,37032,"0,6750918125",No
GUATAQUÍ,2,2973,"0,6727211571",No
BOJACÁ,8,11898,"0,6723819129",No
VILLA DEL ROSARIO,76,113384,"0,6702885769",No
ALBANIA,3,4489,"0,6683002896",No
CALDONO,28,42447,"0,659646147",No
BUCARAMANGA,408,618967,"0,6591627664",No
RISARALDA,7,10753,"0,6509811215",No
GARZÓN,49,75353,"0,6502727164",No
EL ESPINO,2,3095,"0,6462035541",No
CHIMICHAGUA,24,37519,"0,6396758975",No
ATRATO,4,6308,"0,634115409",No
SAN MATEO,2,3173,"0,6303183107",No
TUNUNGUÁ,1,1598,"0,6257822278",No
RIONEGRO,92,147484,"0,6237964796",No
CHINAVITA,2,3237,"0,6178560395",No
LA ESTRELLA,48,77888,"0,6162695152",No
PURACÉ,11,17850,"0,6162464986",No
SUAZA,14,23102,"0,6060081378",No
EL PEÑÓN,5,8281,"0,6037918126",No
SINCELEJO,181,301126,"0,6010772899",No
VIANÍ,3,5005,"0,5994005994",No
LA PLATA,38,63404,"0,5993312725",No
CONFINES,2,3356,"0,5959475566",No
GARAGOA,11,18572,"0,592289468",No
SAN JOSÉ DE PARE,3,5066,"0,592183182",No
ALTO BAUDÓ,17,28751,"0,5912837814",No
PADILLA,6,10152,"0,5910165485",No
MÁLAGA,13,22079,"0,5887947824",No
LA TEBAIDA,21,35692,"0,5883671411",No
MAGANGUÉ,84,143710,"0,5845104725",No
POPAYÁN,193,330750,"0,5835222978",No
PANQUEBA,1,1720,"0,5813953488",No
PASCA,6,10323,"0,5812263877",No
OPORAPA,7,12116,"0,5777484318",No
AQUITANIA,9,15755,"0,5712472231",No
SAN ANDRÉS,5,8758,"0,5709065997",No
SAN CRISTÓBAL,5,8788,"0,5689576695",No
CLEMENCIA,9,15848,"0,5678950025",No
LOS CÓRDOBAS,11,19607,"0,561024124",No
SANTA ANA,15,26737,"0,5610203089",No
MAJAGUAL,22,39233,"0,5607524278",No
LA VEGA,14,25036,"0,5591947595",No
GUACARÍ,19,34000,"0,5588235294",No
ARANZAZU,6,10741,"0,558607206",No
SAN BENITO ABAD,17,30495,"0,5574684374",No
BOCHALEMA,5,9014,"0,5546927002",No
CUÍTIVA,1,1834,"0,5452562704",No
BELLO,310,569488,"0,5443486079",No
EL PASO,23,42322,"0,5434525779",No
PROVIDENCIA,3,5558,"0,5397625045",No
MOMIL,11,20422,"0,5386348056",No
LA CUMBRE,9,16716,"0,5384063173",No
EL PEÑOL,4,7450,"0,5369127517",No
IMUÉS,4,7452,"0,5367686527",No
BARBOSA,30,56053,"0,5352077498",No
SANTIAGO,2,3737,"0,535188654",No
SANTA BÁRBARA,15,28034,"0,5350645645",No
MAHATES,16,30105,"0,5314731772",No
JAMBALÓ,10,18869,"0,5299697917",No
PAMPLONA,29,54930,"0,5279446568",No
CHINCHINÁ,28,53184,"0,5264741276",No
QUETAME,3,5700,"0,5263157895",No
PALMITO,8,15423,"0,518705829",No
PUERTO TEJADA,22,42462,"0,5181103104",No
SANTA BÁRBARA DE PINTO,6,11584,"0,5179558011",No
EL LITORAL DEL SAN JUAN,12,23260,"0,5159071367",No
SANTIAGO DE TOLÚ,18,34943,"0,5151246315",No
SUÁREZ,17,33053,"0,5143254773",No
NEIRA,11,21484,"0,5120089369",No
SANTANA,4,7814,"0,5119017149",No
GRAMALOTE,4,7840,"0,5102040816",No
CONSACÁ,7,13750,"0,5090909091",No
SUCRE,5,9826,"0,5088540607",No
MAGÜÍ,13,25570,"0,508408291",No
ITAGÜÍ,151,299098,"0,5048512528",No
CAMPOALEGRE,16,31865,"0,5021183116",No
MORALES,12,23940,"0,5012531328",No
TARAPACÁ,2,4005,"0,4993757803",No
GUACA,3,6020,"0,4983388704",No
COROZAL,36,72582,"0,4959907415",No
IZA,1,2022,"0,4945598417",No
NEIVA,182,370318,"0,4914694938",No
EL TABLÓN DE GÓMEZ,7,14273,"0,4904364885",No
CHINÚ,24,49422,"0,4856136943",No
PUERTO ESCONDIDO,12,24733,"0,485181741",No
EL PEÑÓN,4,8281,"0,4830334501",No
LA UNIÓN,11,23094,"0,4763141942",No
AIPE,8,16818,"0,4756808182",No
MELGAR,18,37880,"0,4751847941",No
CHITAGÁ,6,12629,"0,475096999",No
PAZ DE RÍO,2,4254,"0,4701457452",No
GUAVATÁ,2,4270,"0,4683840749",No
CHINÁCOTA,9,19219,"0,4682865914",No
ENVIGADO,116,249800,"0,4643714972",No
GALERAS,11,23805,"0,4620877967",No
VIJES,6,13046,"0,4599110839",No
GÜICÁN,2,4359,"0,4588208305",No
INÍRIDA,16,34963,"0,4576266339",No
ALVARADO,4,8759,"0,4566731362",No
BARICHARA,5,11018,"0,453802868",No
VETAS,1,2209,"0,4526935265",No
BARRANCAS,18,39801,"0,4522499435",No
COVEÑAS,9,19992,"0,450180072",No
BUENAVISTA,2,4455,"0,4489337823",No
BUENAVISTA,2,4455,"0,4489337823",No
PÁCORA,7,15593,"0,4489193869",No
GIRÓN,77,175170,"0,4395729862",No
SABOYÁ,6,14035,"0,4275026719",No
CERRITO,3,7063,"0,4247486904",No
ARJONA,32,75615,"0,4231964557",No
YUMBO,47,111474,"0,4216229793",No
PALMIRA,151,358806,"0,4208402312",No
MONTENEGRO,16,38469,"0,4159193117",No
ENTRERRÍOS,5,12096,"0,4133597884",No
SANDONÁ,8,19787,"0,4043058574",No
PACHAVITA,1,2474,"0,4042037187",No
ARMENIA(QUINDÍO),126,312551,"0,4031342085",No
PEREIRA,194,485373,"0,3996926075",No
LLORÓ,4,10071,"0,3971800218",No
TOCAIMA,7,17814,"0,3929493657",No
RIVERA,10,25544,"0,3914813655",No
BARANOA,27,69075,"0,3908794788",No
VÉLEZ,10,25693,"0,3892110692",No
LA MESA,15,38746,"0,3871367367",No
GUASCA,7,18160,"0,3854625551",No
SAN LORENZO,7,18415,"0,3801248982",No
UNE,3,7905,"0,3795066414",No
AGUA DE DIOS,5,13217,"0,3783006734",No
MOGOTES,4,10847,"0,3687655573",No
EL CERRITO,21,57851,"0,3630015039",No
TESALIA,4,11102,"0,3602954423",No
CONCORDIA,8,22364,"0,3577177607",No
CALI,814,2280907,"0,3568755763",No
ARBOLEDA,3,8427,"0,355998576",No
PITAL,5,14153,"0,3532819897",No
HATONUEVO,8,22873,"0,3497573558",No
PANDI,2,5720,"0,3496503497",No
LETICIA,18,52003,"0,3461338769",No
SAN ANDRÉS,3,8758,"0,3425439598",No
SAN PABLO,10,29476,"0,3392590582",No
CÁCOTA,1,2969,"0,336813742",No
CHITARAQUE,2,5944,"0,336473755",No
INZÁ,10,29918,"0,3342469416",No
IBAGUÉ,181,543949,"0,3327517837",No
LA PAZ,10,30657,"0,3261897772",No
BARRANQUILLA,426,1312473,"0,3245781056",No
LOS PATIOS,32,99081,"0,3229680766",No
BALBOA,7,21780,"0,3213957759",No
SOCORRO,11,34267,"0,3210085505",No
MALAMBO,46,143781,"0,3199310062",No
GIRARDOT,37,117744,"0,3142410654",No
EL CANTÓN DEL SAN PABLO,2,6388,"0,3130870382",No
SAN BERNARDO,3,9635,"0,3113648158",No
FACATATIVÁ,52,167309,"0,3108021684",No
RAGONVALIA,2,6459,"0,309645456",No
SAN LUIS DE SINCÉ,10,32675,"0,3060443764",No
AMBALEMA,2,6594,"0,3033060358",No
COTORRA,6,19845,"0,3023431595",No
PIJIÑO DEL CARMEN,4,13238,"0,3021604472",No
SILOS,2,6670,"0,299850075",No
POTOSÍ,3,10067,"0,2980033774",No
SAN GIL,18,60804,"0,2960331557",No
CÓRDOBA,5,16892,"0,2959981056",No
CÓRDOBA,5,16892,"0,2959981056",No
TINJACÁ,1,3397,"0,2943773918",No
PIEDRAS,2,6796,"0,2942907593",No
JESÚS MARÍA,1,3402,"0,2939447384",No
TÚQUERRES,13,44614,"0,2913883534",No
FÓMEQUE,4,13730,"0,2913328478",No
FUSAGASUGÁ,48,165340,"0,2903108746",No
CALARCÁ,22,76803,"0,286447144",No
SILVIA,11,38680,"0,2843846949",No
GUALMATÁN,2,7046,"0,2838489923",No
TIBIRITA,1,3523,"0,2838489923",No
UNIÓN PANAMERICANA,2,7095,"0,281888654",No
FLANDES,8,28766,"0,2781060975",No
CONTADERO,2,7242,"0,2761668048",No
MANIZALES,125,454077,"0,2752837074",No
CUMBAL,10,37072,"0,2697453604",No
OIBA,3,11385,"0,2635046113",No
BELÉN,2,7633,"0,2620201756",No
ILES,2,7639,"0,2618143736",No
CHACHAGÜÍ,4,15316,"0,261164795",No
SANTA CATALINA,4,15327,"0,2609773602",No
ARGELIA,7,27013,"0,2591344908",No
SAN MARCOS,16,62044,"0,2578815034",No
MONIQUIRÁ,6,23346,"0,257003341",No
SAN ESTANISLAO,5,19613,"0,2549329526",No
SABANETA,23,90743,"0,253463077",No
PALMAR DE VARELA,8,31969,"0,2502424223",No
LA PEDRERA,1,4013,"0,2491901321",No
RÁQUIRA,2,8136,"0,2458210423",No
SAN CARLOS,4,16304,"0,2453385672",No
GUAMAL,7,28626,"0,2445329421",No
CAIMITO,4,16419,"0,2436201961",No
TERUEL,2,8225,"0,2431610942",No
EL COCUY,1,4170,"0,2398081535",No
BRICEÑO,2,8373,"0,2388630121",No
CHIQUINQUIRÁ,14,58726,"0,2383952593",No
SAN SEBASTIÁN DE BUENAVISTA,5,21221,"0,2356156637",No
PIENDAMÓ,10,42515,"0,235211102",No
RÍO QUITO,2,8585,"0,2329644729",No
NILO,3,12902,"0,2325220896",No
MOMPÓS,11,47585,"0,2311652832",No
VILLA RICA,5,21674,"0,2306911507",No
LORICA,27,117188,"0,230399017",No
LURUACO,7,31230,"0,2241434518",No
ESPINAL,16,71383,"0,2241430032",No
CURITÍ,3,13535,"0,2216475803",No
ALMAGUER,4,18468,"0,2165908599",No
MUTISCUA,1,4617,"0,2165908599",No
TURBACO,25,116340,"0,214887399",No
CHOCONTÁ,5,23892,"0,2092750712",No
TUBARÁ,4,19415,"0,2060262683",No
PACOA,1,4881,"0,20487605",No
CARTAGENA DE INDIAS,215,1055035,"0,2037847086",No
TUNJA,37,181710,"0,2036211546",No
CIRCASIA,6,29802,"0,2013287699",No
POLONUEVO,4,20135,"0,1986590514",No
SAN ANTERO,7,35566,"0,196817185",No
SOGAMOSO,26,132895,"0,1956431769",No
TOTORÓ,5,26027,"0,1921081953",No
NUEVO COLÓN,1,5287,"0,1891431814",No
TOTA,1,5303,"0,1885725061",No
SAN CAYETANO,1,5339,"0,1873009927",No
CHIPAQUE,2,10786,"0,1854255516",No
PALERMO,5,27322,"0,1830027084",No
PROVIDENCIA,1,5558,"0,1799208348",No
MARGARITA,2,11392,"0,1755617978",No
MOTAVITA,1,5781,"0,1729804532",No
REPELÓN,5,28945,"0,1727414061",No
SANTA LUCÍA,3,17617,"0,1702900607",No
ARBELÁEZ,2,11753,"0,1701693185",No
PAMPLONITA,1,5903,"0,1694053871",No
OCAMONTE,1,5919,"0,1689474573",No
BUESACO,4,23935,"0,1671192814",No
PIEDECUESTA,31,186435,"0,1662777912",No
VENECIA,2,12080,"0,1655629139",No
CIÉNAGA DE ORO,10,61426,"0,1627975125",No
TURMEQUÉ,1,6239,"0,1602820965",No
SAMPUÉS,8,50010,"0,1599680064",No
FILANDIA,2,12570,"0,1591089897",No
CÁQUEZA,3,19257,"0,1557875058",No
GUACHUCAL,3,19356,"0,1549907006",No
DOSQUEBRADAS,34,227696,"0,1493219029",No
LABATECA,1,6699,"0,1492760113",No
BUCARASICA,1,6739,"0,1483899688",No
PESCA,1,6821,"0,1466060695",No
SAN PEDRO DE CARTAGO,1,6826,"0,1464986815",No
PAICOL,1,6832,"0,1463700234",No
FLORIDABLANCA,45,313745,"0,1434285805",No
"BOGOTÁ, D.C.",1098,7901653,"0,1389582661",No
GUAYABETAL,1,7232,"0,1382743363",No
SAPUYES,1,7238,"0,1381597126",No
GUATAVITA,1,7304,"0,1369112815",No
VILLAVIEJA,1,7357,"0,1359249694",No
ALDANA,1,7367,"0,1357404642",No
ALBÁN,1,7377,"0,1355564593",No
LOS SANTOS,2,15068,"0,1327316167",No
SIMIJACA,2,15080,"0,1326259947",No
ÚMBITA,1,7654,"0,1306506402",No
SAN PELAYO,7,53786,"0,130145391",No
SIBATÉ,5,39313,"0,1271843919",No
SANTA ROSA DE CABAL,10,80760,"0,1238236751",No
CAMPO DE LA CRUZ,3,24274,"0,1235890253",No
SOCHA,1,8195,"0,1220256254",No
LA VEGA,3,25036,"0,1198274485",No
PUERRES,1,8372,"0,1194457716",No
SOTAQUIRÁ,1,8417,"0,118807176",No
CERETÉ,13,110032,"0,118147448",No
TUTA,1,8577,"0,1165908826",No
VILLAMARÍA,8,68625,"0,116575592",No
SAHAGÚN,13,111882,"0,1161938471",No
ANAPOIMA,2,17227,"0,1160968248",No
ARATOCA,1,8646,"0,115660421",No
CUCUNUBÁ,1,8855,"0,1129305477",No
SOATÁ,1,8951,"0,111719361",No
TARQUI,2,18016,"0,1110124334",No
EL TAMBO,6,54629,"0,1098317743",No
SAN BERNARDO DEL VIENTO,4,37629,"0,1063009913",No
PUERTO SANTANDER,1,9439,"0,1059434262",No
ZIPAQUIRÁ,16,156983,"0,1019218642",No
NOROSÍ,1,10207,"0,09797198001",No
GACHANCIPÁ,2,20784,"0,09622786759",No
DUITAMA,12,128400,"0,09345794393",No
SALADOBLANCO,1,10738,"0,09312721177",No
MOSQUERA,15,161610,"0,09281603861",No
YACUANQUER,1,10967,"0,09118263883",No
SANTO TOMÁS,3,32960,"0,09101941748",No
PUERTO COLOMBIA,5,55269,"0,09046662686",No
SOPLAVIENTO,1,11114,"0,08997660608",No
GUAITARILLA,1,11335,"0,08822232025",No
SOACHA,71,808288,"0,08783997783",No
CACHIPAY,1,11478,"0,08712319219",No
GALAPA,6,69045,"0,08689984793",No
JUAN DE ACOSTA,2,23439,"0,08532787235",No
SOLEDAD,57,685106,"0,08319880427",No
TABIO,2,25964,"0,07702973348",No
TANGUA,1,13333,"0,07500187505",No
HATILLO DE LOBA,1,13345,"0,07493443237",No
SANTA ROSA DE VITERBO,1,13504,"0,0740521327",No
TALAIGUA NUEVO,1,13515,"0,0739918609",No
USIACURÍ,1,13538,"0,07386615453",No
SESQUILÉ,1,13561,"0,07374087457",No
TUCHÍN,4,55791,"0,07169615171",No
URIBIA,14,197327,"0,070948223",No
SAN JUAN DE BETULIA,1,14534,"0,06880418329",No
RICAURTE,1,15411,"0,06488871585",No
MOÑITOS,2,31047,"0,06441846233",No
SOPÓ,2,31106,"0,06429627725",No
ANOLAIMA,1,15633,"0,06396724877",No
FUNZA,7,112720,"0,0621007807",No
SUÁREZ,2,33053,"0,06050887968",No
MADRID,8,136374,"0,05866220834",No
PUPIALES,1,17234,"0,05802483463",No
PURÍSIMA DE LA CONCEPCIÓN,1,17850,"0,05602240896",No
CHIMÁ,1,18173,"0,05502668794",No
SAMACÁ,1,19075,"0,05242463958",No
GUACHENÉ,1,20340,"0,04916420846",No
TENJO,1,25841,"0,03869819279",No
MANAURE,3,96991,"0,03093070491",No
PAIPA,1,35153,"0,02844707422",No
LA CALERA,1,35301,"0,02832780941",No
COTA,1,39679,"0,02520224804",No
FLORENCIA,4,176706,"0,02263646962",No
TOCANCIPÁ,1,49035,"0,02039359641",No
VILLA DE SAN DIEGO DE UBATÉ,1,50309,"0,01987715916",No
MOSQUERA,3,161610,"0,01856320772",No
CHÍA,2,160435,"0,01246610777",No
