Municipio,Desaparecidos,Habitantes,Desaparecidos_1000,Mun_Caguan
SAN ANDRÉS DE CUERQUÍA,43,7508,"5,727224294",No
CAUCASIA,562,98423,"5,710047448",No
CURUMANÍ,231,41080,"5,623174294",No
PENSILVANIA,113,20102,"5,621331211",No
AMALFI,156,27921,"5,587192436",No
MEDINA,49,8806,"5,564387917",No
ARBOLETES,175,31462,"5,56226559",No
PELAYA,128,23085,"5,544726013",No
CALAMAR,130,23683,"5,489169446",No
CISNEROS,56,10246,"5,465547531",No
SAN JUAN DE RIOSECO,50,9155,"5,46149645",No
GRANADA(META),391,71725,"5,451376786",No
SABANAS DE SAN ÁNGEL,93,17152,"5,422108209",No
TAURAMENA,138,25573,"5,396316427",No
EL DOVIO,47,8724,"5,387436956",No
GÉNOVA,41,7636,"5,3693033",No
FUNDACIÓN,382,72280,"5,285002767",No
PUEBLO RICO,88,16734,"5,258754631",No
LÉRIDA,97,18711,"5,184116295",No
REMOLINO,63,12232,"5,150425114",No
LA PRIMAVERA,50,9846,"5,078204347",No
BETULIA,83,16392,"5,063445583",No
YALÍ,40,7921,"5,049867441",No
CIUDAD BOLÍVAR,137,27134,"5,049015995",No
SARAVENA,329,65314,"5,037204887",No
COLOSO,45,8943,"5,031868501",No
CANTAGALLO,44,8918,"4,933841669",No
CAMPAMENTO,47,9531,"4,931276886",No
EL CARMEN DE BOLÍVAR,367,74436,"4,930410017",No
BARRANCABERMEJA,1055,214689,"4,914085025",No
SAN JOSÉ DE LA MONTAÑA,19,3882,"4,894384338",No
ARENAL,39,7974,"4,89089541",No
CARURÚ,17,3498,"4,859919954",No
VEGACHÍ,60,12414,"4,833252779",No
FLORENCIA,854,176706,"4,832886263",No
EL CARMEN DE CHUCURÍ,107,22230,"4,81331534",No
LA MACARENA,137,28508,"4,805668584",Yes
LABRANZAGRANDE,17,3540,"4,802259887",No
SANTA ROSA,109,22982,"4,742842224",No
DIBULLA,207,43663,"4,740856102",No
EL PAUJÍL,89,18859,"4,719232197",No
CIÉNAGA,597,127494,"4,682573298",No
SAMANIEGO,130,27766,"4,681985162",No
VILLANUEVA,121,25876,"4,676147782",No
RICAURTE,72,15411,"4,671987541",No
ARAUQUITA,270,58270,"4,633602197",No
PIVIJAY,185,39962,"4,629397928",No
CABRERA,25,5429,"4,604899613",No
SANTA HELENA DEL OPÓN,16,3475,"4,604316547",No
SANTUARIO,58,12649,"4,585342715",No
OLAYA,15,3274,"4,581551619",No
EL PLAYÓN,64,14302,"4,474898616",No
CAREPA,236,52749,"4,474018465",No
PIAMONTE,42,9409,"4,463811245",No
SEGOVIA,181,40607,"4,457359569",No
LA ESPERANZA,56,12610,"4,440919905",No
OVEJAS,106,24003,"4,416114652",No
PUERTO WILCHES,153,34849,"4,390369881",No
CAÑASGORDAS,70,16037,"4,364906155",No
ARACATACA,185,42545,"4,348337055",No
EL TARRA,97,22346,"4,340821624",No
EL CARMEN,62,14309,"4,332937312",No
PUERTO GUZMÁN,163,37682,"4,325672735",No
JURADÓ,30,6952,"4,315304948",No
SITIONUEVO,129,29905,"4,313659923",No
BARBACOAS,243,56586,"4,294348425",No
SAN ONOFRE,223,52346,"4,260115386",No
EL BAGRE,236,55525,"4,250337686",No
PARATEBUENO,42,9886,"4,248432126",No
SAN MARTÍN,125,29794,"4,195475599",No
ANZÁ,31,7393,"4,193155688",No
HONDA,103,24666,"4,175788535",No
VILLAGARZÓN,103,24759,"4,160103397",No
UBALÁ,34,8353,"4,07039387",No
CHISCAS,16,3939,"4,061944656",No
TOLEDO,21,5200,"4,038461538",No
LA MERCED,24,5985,"4,010025063",No
PUERTO LEGUÍZAMO,121,30312,"3,991818422",No
ANGELÓPOLIS,24,6023,"3,98472522",No
YOLOMBÓ,96,24239,"3,960559429",No
TEORAMA,71,18008,"3,942692137",No
MANAURE BALCÓN DEL CESAR,44,11221,"3,921219143",No
BUGALAGRANDE,97,24772,"3,915711287",No
PUEBLO BELLO,119,30491,"3,902790988",No
SABANA DE TORRES,137,35212,"3,890719073",No
CONCEPCIÓN,19,4906,"3,872808806",No
CAMPOHERMOSO,12,3102,"3,868471954",No
FRESNO,121,31349,"3,859772242",No
CHAGUANÍ,18,4680,"3,846153846",No
SAN JACINTO,96,25175,"3,813306852",No
VIGÍA DEL FUERTE,37,9717,"3,807759597",No
PUERTO CARREÑO,79,20798,"3,798442158",No
GUADALUPE,26,6873,"3,782918667",No
RÍO VIEJO,41,11008,"3,724563953",No
SANTA ROSALÍA,16,4297,"3,723528043",No
BOSCONIA,165,44878,"3,676634431",No
BOJAYÁ,46,12525,"3,672654691",No
SANTA MARÍA,13,3545,"3,667136812",No
PÁEZ,12,3288,"3,649635036",No
CONVENCIÓN,73,20019,"3,646535791",No
MUZO,31,8507,"3,644057835",No
CARACOLÍ,17,4673,"3,637919966",No
MORALES,87,23940,"3,634085213",No
TAMINANGO,65,17897,"3,631893613",No
MOCOA,219,60572,"3,615531929",No
ÚTICA,17,4755,"3,575184017",No
EL CALVARIO,6,1679,"3,573555688",No
GUADUAS,127,35617,"3,565713002",No
SOPETRÁN,57,15996,"3,563390848",No
SABANALARGA,34,9567,"3,55388314",No
SAN DIEGO,74,21199,"3,490730695",No
CORINTO,90,25847,"3,482028862",No
PLANADAS,90,25930,"3,470883147",No
LOS ANDES,32,9276,"3,449762829",No
FUENTE DE ORO,43,12587,"3,416223087",No
PUERTO LIBERTADOR,150,44233,"3,391133317",No
ROBERTO PAYÁN,43,12708,"3,38369531",No
ZONA BANANERA,256,75824,"3,376239713",No
TADÓ,61,18199,"3,351832518",No
YARUMAL,147,44009,"3,340225863",No
CABUYARO,21,6291,"3,338102051",No
LANDÁZURI,36,10787,"3,337350515",No
BUENOS AIRES,108,32568,"3,316138541",No
ABEJORRAL,69,20920,"3,298279159",No
TÁMESIS,55,16706,"3,292230336",No
DOLORES,27,8226,"3,282275711",No
AGUACHICA,398,122902,"3,238352509",No
HELICONIA,18,5563,"3,23566421",No
JERUSALÉN,8,2483,"3,221908981",No
COLOMBIA,23,7179,"3,203788829",No
ABRIAQUÍ,9,2820,"3,191489362",No
MISTRATÓ,56,17555,"3,189974366",No
SARDINATA,87,27312,"3,185413005",No
LA JAGUA DE IBIRICO,168,52771,"3,183566732",No
ZARAGOZA,84,26510,"3,168615617",No
NECHÍ,89,28213,"3,154574132",No
BETANIA,33,10605,"3,111739745",No
TOLÚ VIEJO,71,22828,"3,110215525",No
MARULANDA,8,2589,"3,089996138",No
SAN CALIXTO,38,12405,"3,063280935",No
MARQUETALIA,42,13727,"3,059663437",No
CUMARAL,72,23568,"3,054989817",No
EL ÁGUILA,26,8670,"2,998846597",No
PAYA,8,2670,"2,996254682",No
LA GLORIA,57,19105,"2,98351217",No
ALGARROBO,51,17214,"2,962704775",No
PRADO,25,8458,"2,955781509",No
MATANZA,15,5130,"2,923976608",No
TIQUISIO,57,19521,"2,919932381",No
NÓVITA,27,9250,"2,918918919",No
MACANAL,15,5140,"2,918287938",No
CÁCHIRA,33,11410,"2,892199825",No
LA PAZ,88,30657,"2,870470039",No
MIRAFLORES,26,9136,"2,845884413",No
ARAUCA,284,100365,"2,829671698",No
