County,Missing_people,Population,Process_Peace_Area
EL DOVIO,19,11489,No
ROBERTO PAYÁN,19,11484,No
MONTEBELLO,19,8007,No
PITALITO,18,92937,No
PRADERA,18,45676,No
GUARNE,18,41832,No
BARBOSA,18,33457,No
LEBRIJA,18,32656,No
ZARAGOZA,18,23600,No
TOLÚ VIEJO,18,17597,No
SANTUARIO,18,15115,No
FORTUL,18,12865,No
CÁCHIRA,18,10927,No
NORCASIA,18,7671,No
FUSAGASUGÁ,17,82606,No
QUINCHÍA,17,29377,No
SALGAR,17,20201,No
GAMARRA,17,12485,No
MEDINA,17,9316,No
SAN CARLOS DE GUAROA,17,7985,No
SAN ANDRÉS DE CUERQUÍA,17,7820,No
ARJONA,16,56808,No
CAICEDONIA,16,32856,No
ARIGUANÍ,16,26901,No
PLANADAS,16,25435,No
VILLETA,16,20152,No
EL PAUJÍL,16,16316,No
RICAURTE,16,10946,No
LEJANÍAS,16,10202,No
ZARZAL,15,39950,No
CAJIBÍO,15,39733,No
AMALFI,15,22524,No
SALDAÑA,15,14690,No
MANÍ,15,13546,No
ANZÁ,15,6809,No
SUPÍA,14,27111,No
PUERTO CARREÑO,14,18054,No
TURBANÁ,14,13650,No
VILLAHERMOSA,14,11269,No
MANAURE BALCÓN DEL CESAR,14,7473,No
CANTAGALLO,14,5679,No
FACATATIVÁ,13,79985,No
ROLDANILLO,13,37199,No
FONSECA,13,35248,No
ORTEGA,13,34500,No
BUENOS AIRES,13,24345,No
FRONTINO,13,23281,No
LA UNIÓN,13,21779,No
VILLANUEVA,13,19691,No
CAJAMARCA,13,19340,No
CALIMA,13,15809,No
GUARANDA,13,14113,No
LA GLORIA,13,13482,No
PUERTO SALGAR,13,11634,No
LOS ANDES,13,10974,No
SUAITA,13,10502,No
CAMPAMENTO,13,9878,No
COLOSO,13,8726,No
COLOMBIA,13,8468,No
GIRARDOTA,12,39684,No
ARBOLETES,12,29338,No
SABANALARGA,12,28967,No
BUGALAGRANDE,12,25270,No
NECHÍ,12,19348,No
SAN DIEGO,12,16495,No
RÍO VIEJO,12,14843,No
SANTO DOMINGO,12,14252,No
SAN CALIXTO,12,10267,No
GÓMEZ PLATA,12,9670,No
OTANCHE,12,7961,No
PUERTO PARRA,12,6772,No
SAN LUIS DE GACENO,12,6101,No
GIRARDOT,11,71951,No
BARANOA,11,49988,No
PATÍA,11,36220,No
LA VIRGINIA,11,28905,No
AGUADAS,11,27435,No
MIRANDA,11,27431,No
SAN MARTÍN DE LOBA,11,24052,No
LA UNIÓN,11,21779,No
EL PIÑÓN,11,16089,No
TADÓ,11,13366,No
VEGACHÍ,11,12109,No
HACARÍ,11,9191,No
HERVEO,11,9153,No
VENECIA,11,8083,No
EL PEÑÓN,11,7255,No
MARINILLA,10,50513,No
ANDES,10,41847,No
BELÉN DE UMBRÍA,10,25720,No
